"datum";"y";"m";"exc_id";"zone";"veg_aanw";"beh_typ";"brand2011";"h_gem";"sdev"
"30/07/2012";2012;8;"LV2";"Begraasd, B";"ja";"BGR";"nee";NA;29,12232
"17/06/2013";2013;6;"WD1";"Excl, Centrum";"ja";"EXC";"nee";NA;1,224745
"30/07/2012";2012;8;"LV2";"Begraasd, A";"ja";"BGR";"nee";NA;0,7806247
"17/06/2013";2013;6;"WD1";"Excl, zone A";"ja";"EXC";"nee";NA;21,65063
"30/07/2012";2012;8;"LV1";"Excl, Centrum";"ja";"EXC";"nee";NA;7,034513
"17/06/2013";2013;6;"WD1";"Excl, zone B";"ja";"EXC";"nee";NA;6,873864
"30/07/2012";2012;8;"LV1";"Excl, zone A";"ja";"EXC";"nee";NA;5,158428
"17/06/2013";2013;6;"WD1";"Excl, zone C";"ja";"EXC";"nee";NA;12,30282
"30/07/2012";2012;8;"LV1";"Excl, zone B";"nee";"EXC";"nee";NA;0
"17/06/2013";2013;6;"WD1";"Excl, zone D";"ja";"EXC";"nee";NA;3,018174
"30/07/2012";2012;8;"LV1";"Excl, zone C";"ja";"EXC";"nee";NA;34,98214
"17/06/2013";2013;6;"WD1";"Begraasd, A";"ja";"BGR";"nee";NA;3,905125
"30/07/2012";2012;8;"LV1";"Excl, zone D";"ja";"EXC";"nee";NA;31,37674
"17/06/2013";2013;6;"WD1";"Begraasd, B";"ja";"BGR";"nee";NA;16,01562
"30/07/2012";2012;8;"LV1";"Begraasd, A";"ja";"BGR";"nee";NA;15,0743
"17/06/2013";2013;6;"WD1";"Begraasd, C";"ja";"BGR";"nee";NA;2,420614
"30/07/2012";2012;8;"LV1";"Begraasd, B";"ja";"BGR";"nee";NA;0
"17/06/2013";2013;6;"WD1";"Begraasd, D";"ja";"BGR";"nee";NA;5,677533
"30/07/2012";2012;8;"LV1";"Begraasd, C";"ja";"BGR";"nee";NA;31,74409
"17/06/2013";2013;6;"GB1";"Excl, Centrum";"ja";"EXC";"nee";NA;12,31615
